source,target,weight,common_tags
"aaron-krane
","aaron-white
",1.0,millions
"aaron-krane
","abraham-sultan
",0.0,
"aaron-krane
","adam-caplan
",1.0,CEO
"aaron-krane
","adam-harrell
",0.0,
"aaron-krane
","adam-marcus
",0.0,
"aaron-krane
","addie-conner
",1.0,company
"aaron-krane
","aenor-sawyer
",0.0,
"aaron-krane
","ajay-kulkarni
",0.0,
"aaron-krane
","alan-spoon
",0.0,
"aaron-krane
","alessandro-alinone
",0.0,
"aaron-krane
","alex-odle
",0.0,
"aaron-krane
","alex-smith-4
",3.0,"CEO, company, time"
"aaron-krane
","alfonso-hooker
",0.0,
"aaron-krane
","ali-rajabi-shomali
",0.0,
"aaron-krane
","allyson-kelley
",0.0,
"aaron-krane
","alvaro-zamacola
",0.0,
"aaron-krane
","amit-chaudhary-2
",0.0,
"aaron-krane
","amjad-masad
",0.0,
"aaron-krane
","anand-henry
",0.0,
"aaron-krane
","anders-frejo-jorgensen
",0.0,
"aaron-krane
","andres-blank
",0.0,
"aaron-krane
","andrew-brown-4
",0.0,
"aaron-krane
","andrew-dudum
",1.0,venture capital
"aaron-krane
","andrew-heyward
",0.0,
"aaron-krane
","andrew-nutter
",0.0,
"aaron-krane
","andrew-w-hobson
",1.0,CEO
"aaron-krane
","andy-drish
",0.0,
"aaron-krane
","andy-mai
",0.0,
"aaron-krane
","andy-sparks
",1.0,company
"aaron-krane
","angela-kim
",1.0,company
"aaron-krane
","anthony-t-cheung
",1.0,CEO
"aaron-krane
","april-pedersen
",0.0,
"aaron-krane
","arimathia-otto
",0.0,
"aaron-krane
","arron-shepherd
",0.0,
"aaron-krane
","arun-stephens
",1.0,CEO
"aaron-krane
","ashley-pearson
",1.0,CEO
"aaron-krane
","ask-bjrn-hansen
",0.0,
"aaron-krane
","atul-nimje
",0.0,
"aaron-krane
","aviram-eisenberg
",2.0,"CEO, company"
"aaron-krane
","baidi-li
",0.0,
"aaron-krane
","barry-freel
",0.0,
"aaron-krane
","ben-halstead-2
",0.0,
"aaron-krane
","ben-neumann-2
",1.0,CEO
"aaron-krane
","bijan-sabet-2
",1.0,quot
"aaron-krane
","bill-draper
",0.0,
"aaron-krane
","bill-lapcevic
",0.0,
"aaron-krane
","billy-martyn
",0.0,
"aaron-krane
","bob-orlando
",0.0,
"aaron-krane
","bobbi-holte
",0.0,
"aaron-krane
","brad-cicero
",0.0,
"aaron-krane
","brad-pelo
",2.0,"CEO, quot"
"aaron-krane
","brandon-doyle
",0.0,
"aaron-krane
","brent-ramsby
",0.0,
"aaron-krane
","brett-kopf
",0.0,
"aaron-krane
","brian-baumgart
",1.0,company
"aaron-krane
","brian-graves
",0.0,
"aaron-krane
","brian-morfitt
",0.0,
"aaron-krane
","brian-west
",0.0,
"aaron-krane
","brodie-beta
",0.0,
"aaron-krane
","bryan-ferren
",1.0,CEO
"aaron-krane
","cameron-priest
",1.0,CEO
"aaron-krane
","carmen-chang
",0.0,
"aaron-krane
","catherine-chang
",1.0,Silicon Valley
"aaron-krane
","cedric-deltheil
",0.0,
"aaron-krane
","chad-conway
",0.0,
"aaron-krane
","charles-b-ammann
",0.0,
"aaron-krane
","charles-h-r-bracken
",0.0,
"aaron-krane
","chau-nguyen
",2.0,"CEO, time"
"aaron-krane
","chirag-bodar
",0.0,
"aaron-krane
","chris-haslam
",0.0,
"aaron-krane
","chris-nunes
",0.0,
"aaron-krane
","chris-torrance
",0.0,
"aaron-krane
","christine-m-mccarthy
",0.0,
"aaron-krane
","christopher-doherty
",0.0,
"aaron-krane
","christopher-stanley
",0.0,
"aaron-krane
","ciprian-dobrescu
",0.0,
"aaron-krane
","clipping-hq
",0.0,
"aaron-krane
","colin-ball
",0.0,
"aaron-krane
","colleen-e-harrison
",0.0,
"aaron-krane
","corey-scurlock
",1.0,time
"aaron-krane
","courtney-guertin
",1.0,company
"aaron-krane
","cristopher-schaepe
",0.0,
"aaron-krane
","damian-amajoyi
",0.0,
"aaron-krane
","dan-dolan
",0.0,
"aaron-krane
","dan-s-miller
",0.0,
"aaron-krane
","daniel-alfon
",0.0,
"aaron-krane
","daniel-nelson-4
",1.0,CEO
"aaron-krane
","darlene-liebman
",0.0,
"aaron-krane
","dave-frank
",0.0,
"aaron-krane
","dave-maki
",0.0,
"aaron-krane
","dave-sifry
",2.0,"CEO, Technorati"
"aaron-krane
","david-bentley-hurley
",0.0,
"aaron-krane
","david-jones-11
",0.0,
"aaron-krane
","david-l-brown
",0.0,
"aaron-krane
","david-luther
",1.0,company
"aaron-krane
","david-prager
",0.0,
"aaron-krane
","david-rourke
",0.0,
"aaron-krane
","debu-purkayastha
",2.0,"Google, Silicon Valley"
"aaron-krane
","dennis-howlett
",0.0,
"aaron-krane
","dental-websites
",0.0,
"aaron-krane
","dhanji-prasanna
",0.0,
"aaron-krane
","diane-marcou
",0.0,
"aaron-krane
","diego-oliva
",0.0,
"aaron-krane
","dina-dublon
",0.0,
"aaron-krane
","donn-davis
",1.0,CEO
"aaron-krane
","doug-treco
",1.0,CEO
"aaron-krane
","dr-lauren-silverman
",0.0,
"aaron-krane
","dr-ray-woods
",1.0,time
"aaron-krane
","dr-vaduvur-bharghavan
",0.0,
"aaron-krane
","drew-massie
",0.0,
"aaron-krane
","duncan-angove-2
",0.0,
"aaron-krane
","eddie-lee
",0.0,
"aaron-krane
","edouard-seynaeve
",0.0,
"aaron-krane
","eimear-mccormack
",0.0,
"aaron-krane
","elliott-brown
",0.0,
"aaron-krane
","emil-ovemar
",0.0,
"aaron-krane
","eneko-knorr
",1.0,CEO
"aaron-krane
","eran-lobl
",1.0,company
"aaron-krane
","erik-gustavson
",0.0,
"aaron-krane
","erin-bury
",0.0,
"aaron-krane
","errol-halperin
",0.0,
"aaron-krane
","ethan-lowry
",0.0,
"aaron-krane
","external-battery
",0.0,
"aaron-krane
","frank-barbieri
",1.0,company
"aaron-krane
","frank-langston
",1.0,time
"aaron-krane
","fredo-defrance
",0.0,
"aaron-krane
","g-d-ramkumar
",1.0,CEO
"aaron-krane
","garrett-thornburg
",0.0,
"aaron-krane
","gaurav-jain
",1.0,CEO
"aaron-krane
","general-manager
",0.0,
"aaron-krane
","geoffrey-bessin
",0.0,
"aaron-krane
","george-lynch
",0.0,
"aaron-krane
","gerard-cunningham
",1.0,CEO
"aaron-krane
","gideon-stein
",1.0,CEO
"aaron-krane
","giorgos-zacharia
",0.0,
"aaron-krane
","glitter-tattoo-kits
",0.0,
