<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
source,target,weight,common_tags
aaron-renner,adam-rosen,0,
aaron-renner,ajay-deep,0,
aaron-renner,alex-peron,0,
aaron-renner,amrit-gill,1,Founder
aaron-renner,anna-hejka,0,
aaron-renner,annie-sprinkle,0,
aaron-renner,anthony-hand,0,
aaron-renner,anu-vaidyanathan,0,
aaron-renner,austin-thesing,1,Founder
aaron-renner,beth-akers,0,
aaron-renner,brian-joros,0,
aaron-renner,caralee-adams,0,
aaron-renner,chad-wood,1,Founder
aaron-renner,chris-barrett,0,
aaron-renner,chris-evans-5,0,
aaron-renner,chris-kelly-6,0,
aaron-renner,clemens-weidenbach,0,
aaron-renner,clifton-lawson,0,
aaron-renner,colin-schmitt,0,
aaron-renner,corey-gorman,0,
aaron-renner,dan-lewis-2,0,
aaron-renner,daniel-carlin-2,0,
aaron-renner,darren-bassman,1,Founder
aaron-renner,daryl-mastracci-2,0,
aaron-renner,dimitris-papazisis-2,0,
aaron-renner,diogo-quental,0,
aaron-renner,donald-chip-brown,0,
aaron-renner,dwyane-wade,0,
aaron-renner,emily-o-brien,0,
aaron-renner,eric-gilbert-deerfield-il,0,
aaron-renner,eric-price,1,Founder
aaron-renner,eric-quan,0,
aaron-renner,evan-lesser,0,
aaron-renner,georg-holzer,0,
aaron-renner,greg-ball,1,Founder
aaron-renner,gretchen-west,0,
aaron-renner,hans-bakker,0,
aaron-renner,homer-quan,0,
aaron-renner,irvin-goldman,0,
aaron-renner,ivo-mynttinen,0,
aaron-renner,jamie-young-2,0,
aaron-renner,jari-pallari,0,
aaron-renner,jason-develvis,1,Founder
aaron-renner,jason-fishman,0,
aaron-renner,jd-hancock,0,
aaron-renner,jim-adler,0,
aaron-renner,joan-guasch,0,
aaron-renner,joeben-beverit,0,
aaron-renner,joel-gibbard,0,
aaron-renner,johann-kratzer,0,
aaron-renner,john-andrews-2,0,
aaron-renner,john-sawin,0,
aaron-renner,johnny-vowles,1,Founder
aaron-renner,kathy-walter,0,
aaron-renner,kavita-shah,1,Founder
aaron-renner,kelly-makino,0,
aaron-renner,kevin-gao-2,1,Founder
aaron-renner,konstantin-boudnik,0,
aaron-renner,krishna-caldas,1,Founder
aaron-renner,kurt-bilafer,0,
aaron-renner,lauren-rabaino,0,
aaron-renner,louis-zacharilla,0,
aaron-renner,marc-nijdam,0,
aaron-renner,marcel-imery,0,
aaron-renner,marcin-klepacki,1,Founder
aaron-renner,martin-hiles,0,
aaron-renner,mr-kermit,0,
aaron-renner,mr-kunmi-dumeren,0,
aaron-renner,nick-burch,0,
aaron-renner,nick-petit,0,
aaron-renner,nigel-reading,0,
aaron-renner,peter-frykman,1,Founder
aaron-renner,peter-hepworth,0,
aaron-renner,peter-stradinger,0,
aaron-renner,rev-sally-bingham,0,
aaron-renner,richard-curtis-2,0,
aaron-renner,richard-klatt-2,0,
aaron-renner,rishabh-jain-2,0,
aaron-renner,robin-sharma,0,
aaron-renner,sai-koppala,0,
aaron-renner,sara-akhteh,0,
aaron-renner,satya-parimi-2,0,
aaron-renner,sky-works,0,
aaron-renner,steve-mcbee,0,
aaron-renner,sudheera-n,0,
aaron-renner,takayuki-yamazaki,0,
aaron-renner,tarek-atia,0,
aaron-renner,tim-allison-2,0,
aaron-renner,timothy-brown-2,0,
aaron-renner,tom-barber-2,0,
aaron-renner,tyler-rosen,0,
aaron-renner,vicki-abeles,0,
aaron-renner,virkaran-awasty,0,
aaron-renner,william-sauer,0,
aaron-renner,xavier-gomez,0,
aaron-renner,yiqing-du,1,Founder
aaron-renner,yj-min,0,
adam-rosen,ajay-deep,0,
adam-rosen,alex-peron,0,
adam-rosen,amrit-gill,0,
adam-rosen,anna-hejka,0,
adam-rosen,annie-sprinkle,0,
adam-rosen,anthony-hand,0,
adam-rosen,anu-vaidyanathan,0,
adam-rosen,austin-thesing,0,
adam-rosen,beth-akers,0,
adam-rosen,brian-joros,0,
adam-rosen,caralee-adams,0,
adam-rosen,chad-wood,0,
adam-rosen,chris-barrett,0,
adam-rosen,chris-evans-5,0,
adam-rosen,chris-kelly-6,0,
adam-rosen,clemens-weidenbach,0,
adam-rosen,clifton-lawson,0,
adam-rosen,colin-schmitt,0,
adam-rosen,corey-gorman,0,
adam-rosen,dan-lewis-2,0,
adam-rosen,daniel-carlin-2,0,
adam-rosen,darren-bassman,0,
adam-rosen,daryl-mastracci-2,0,
adam-rosen,dimitris-papazisis-2,0,
adam-rosen,diogo-quental,0,
adam-rosen,donald-chip-brown,1,University
adam-rosen,dwyane-wade,1,series
adam-rosen,emily-o-brien,0,
adam-rosen,eric-gilbert-deerfield-il,0,
adam-rosen,eric-price,0,
adam-rosen,eric-quan,0,
adam-rosen,evan-lesser,2,"University, degree"
adam-rosen,georg-holzer,0,
adam-rosen,greg-ball,0,
adam-rosen,gretchen-west,0,
adam-rosen,hans-bakker,0,
adam-rosen,homer-quan,0,
adam-rosen,irvin-goldman,0,
adam-rosen,ivo-mynttinen,0,
adam-rosen,jamie-young-2,0,
adam-rosen,jari-pallari,0,
adam-rosen,jason-develvis,0,
adam-rosen,jason-fishman,0,
adam-rosen,jd-hancock,0,
adam-rosen,jim-adler,0,
adam-rosen,joan-guasch,0,
adam-rosen,joeben-beverit,0,
adam-rosen,joel-gibbard,0,
adam-rosen,johann-kratzer,0,
adam-rosen,john-andrews-2,0,
adam-rosen,john-sawin,0,
adam-rosen,johnny-vowles,0,
adam-rosen,kathy-walter,0,
adam-rosen,kavita-shah,0,
adam-rosen,kelly-makino,1,University
adam-rosen,kevin-gao-2,0,
adam-rosen,konstantin-boudnik,0,
adam-rosen,krishna-caldas,0,
adam-rosen,kurt-bilafer,0,
adam-rosen,lauren-rabaino,0,
adam-rosen,louis-zacharilla,0,
adam-rosen,marc-nijdam,0,
adam-rosen,marcel-imery,0,
adam-rosen,marcin-klepacki,0,
adam-rosen,martin-hiles,0,
adam-rosen,mr-kermit,0,
adam-rosen,mr-kunmi-dumeren,0,
adam-rosen,nick-burch,0,
adam-rosen,nick-petit,0,
adam-rosen,nigel-reading,0,
adam-rosen,peter-frykman,0,
adam-rosen,peter-hepworth,0,
adam-rosen,peter-stradinger,0,
adam-rosen,rev-sally-bingham,0,
adam-rosen,richard-curtis-2,0,
adam-rosen,richard-klatt-2,0,
adam-rosen,rishabh-jain-2,0,
adam-rosen,robin-sharma,0,
adam-rosen,sai-koppala,0,
adam-rosen,sara-akhteh,0,
adam-rosen,satya-parimi-2,0,
adam-rosen,sky-works,0,
adam-rosen,steve-mcbee,0,
adam-rosen,sudheera-n,0,
adam-rosen,takayuki-yamazaki,0,
adam-rosen,tarek-atia,0,
adam-rosen,tim-allison-2,1,University
adam-rosen,timothy-brown-2,0,
adam-rosen,tom-barber-2,0,
adam-rosen,tyler-rosen,3,"Aerospace Engineering, Lone Star Clash, series"
adam-rosen,vicki-abeles,0,
adam-rosen,virkaran-awasty,0,
adam-rosen,william-sauer,0,
adam-rosen,xavier-gomez,0,
adam-rosen,yiqing-du,0,
adam-rosen,yj-min,0,
ajay-deep,alex-peron,0,
ajay-deep,amrit-gill,0,
ajay-deep,anna-hejka,0,
ajay-deep,annie-sprinkle,0,
ajay-deep,anthony-hand,1,founder
ajay-deep,anu-vaidyanathan,0,
ajay-deep,austin-thesing,0,
ajay-deep,beth-akers,0,
ajay-deep,brian-joros,0,
ajay-deep,caralee-adams,0,
ajay-deep,chad-wood,0,
ajay-deep,chris-barrett,0,
ajay-deep,chris-evans-5,0,
ajay-deep,chris-kelly-6,0,
ajay-deep,clemens-weidenbach,0,
ajay-deep,clifton-lawson,0,
ajay-deep,colin-schmitt,0,
ajay-deep,corey-gorman,0,
ajay-deep,dan-lewis-2,0,
ajay-deep,daniel-carlin-2,1,founder
ajay-deep,darren-bassman,0,
ajay-deep,daryl-mastracci-2,1,entrepreneur
ajay-deep,dimitris-papazisis-2,0,
ajay-deep,diogo-quental,0,
ajay-deep,donald-chip-brown,0,
ajay-deep,dwyane-wade,0,
ajay-deep,emily-o-brien,0,
ajay-deep,eric-gilbert-deerfield-il,0,
ajay-deep,eric-price,0,
ajay-deep,eric-quan,0,
ajay-deep,evan-lesser,0,
ajay-deep,georg-holzer,0,
ajay-deep,greg-ball,0,
ajay-deep,gretchen-west,0,
ajay-deep,hans-bakker,0,
ajay-deep,homer-quan,1,entrepreneur
ajay-deep,irvin-goldman,0,
ajay-deep,ivo-mynttinen,0,
ajay-deep,jamie-young-2,0,
ajay-deep,jari-pallari,0,
ajay-deep,jason-develvis,0,
ajay-deep,jason-fishman,1,businesses
ajay-deep,jd-hancock,0,
ajay-deep,jim-adler,0,
ajay-deep,joan-guasch,0,
ajay-deep,joeben-beverit,0,
ajay-deep,joel-gibbard,0,
ajay-deep,johann-kratzer,0,
ajay-deep,john-andrews-2,0,
ajay-deep,john-sawin,0,
ajay-deep,johnny-vowles,0,
ajay-deep,kathy-walter,0,
ajay-deep,kavita-shah,0,
ajay-deep,kelly-makino,0,
ajay-deep,kevin-gao-2,0,
ajay-deep,konstantin-boudnik,0,
ajay-deep,krishna-caldas,0,
ajay-deep,kurt-bilafer,1,businesses
ajay-deep,lauren-rabaino,0,
ajay-deep,louis-zacharilla,0,
ajay-deep,marc-nijdam,0,
ajay-deep,marcel-imery,1,entrepreneur
ajay-deep,marcin-klepacki,0,
ajay-deep,martin-hiles,0,
ajay-deep,mr-kermit,0,
ajay-deep,mr-kunmi-dumeren,0,
ajay-deep,nick-burch,0,
ajay-deep,nick-petit,0,
ajay-deep,nigel-reading,0,
ajay-deep,peter-frykman,0,
ajay-deep,peter-hepworth,0,
